,Diluant(%),Equv(phi),Fuel,Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
9,85.0,1.0,CCCC,2.0,13.0,1.16,1517,83
13,99.625,1.0,CCCC,0.05,0.325,2.06,1598,144
15,86.0,0.5,CCCC,1.0,13.0,1.08,1422,131
42,85.0,1.0,CCCC,2.0,13.0,1.19,1490,100
49,96.25,1.0,CCCC,0.5,3.25,1.33,1532,156
51,96.25,1.0,CCCC,0.5,3.25,1.17,1561,131
54,92.86,1.0,CCCC,0.95,6.19,5.3,1400,199
75,92.86,1.0,CCCC,0.95,6.19,1.23,1276,1432
77,85.0,1.0,CCCC,2.0,13.0,1.15,1455,149
88,92.5,1.0,CCCC,1.0,6.5,1.14,1447,244
95,92.5,1.0,CCCC,1.0,6.5,1.2,1478,171
99,96.25,1.0,CCCC,0.5,3.25,1.18,1513,186
109,96.25,1.0,CCCC,0.5,3.25,1.37,1546,136
111,92.86,1.0,CCCC,0.95,6.19,5.42,1543,46
112,92.5,1.0,CCCC,1.0,6.5,1.17,1409,390
115,85.0,1.0,CCCC,2.0,13.0,1.18,1385,353
120,92.5,1.0,CCCC,1.0,6.5,1.19,1405,415
122,92.86,1.0,CCCC,0.95,6.19,1.23,1511,155
127,92.5,1.0,CCCC,1.0,6.5,1.97,1468,150
144,92.86,1.0,CCCC,0.95,6.19,5.46,1281,814
145,95.75,2.0,CCCC,1.0,3.25,1.06,1627,220
158,95.75,2.0,CCCC,1.0,3.25,1.07,1541,441
163,92.86,1.0,CCCC,0.95,6.19,1.24,1250,1898
166,92.86,1.0,CCCC,0.95,6.19,5.44,1230,1457
